,TEAM,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST20,FTA_RATE_RANK_LAST20,TOV_PCT_RANK_LAST20,OREB_PCT_RANK_LAST20,OPP_EFG_PCT_RANK_LAST20,OPP_FTA_RATE_RANK_LAST20,OPP_TOV_PCT_RANK_LAST20,OPP_OREB_PCT_RANK_LAST20,PTS_1H_AVG,PTS_AVG
0,TOR,65.0,123.0,0.0,22.0,15.0,17.0,14.0,30.0,13.0,19.0,16.0,56.55,111.8
1,ATL,64.0,121.0,30.0,24.0,8.0,6.0,7.0,22.0,5.0,8.0,30.0,59.9,118.9
2,CLE,50.0,97.0,0.0,6.0,13.0,9.0,21.0,19.0,29.0,7.0,28.0,58.9,116.75
3,PHI,53.0,104.0,30.0,23.0,5.0,1.0,11.0,2.0,7.0,9.0,8.0,58.95,113.75
4,PHX,52.0,110.0,0.0,1.0,3.0,30.0,22.0,12.0,27.0,14.0,17.0,63.1,121.35
5,HOU,57.0,114.0,30.0,29.0,9.0,13.0,6.0,6.0,9.0,21.0,23.0,55.55,114.15
6,LAC,53.0,101.0,0.0,3.0,12.0,7.0,15.0,21.0,10.0,2.0,27.0,57.8,119.8
7,MEM,59.0,95.0,30.0,26.0,22.0,29.0,24.0,15.0,8.0,15.0,24.0,52.95,104.5
8,WAS,57.0,106.0,0.0,28.0,27.0,18.0,20.0,4.0,11.0,3.0,22.0,57.65,112.8
9,OKC,80.0,147.0,30.0,8.0,21.0,5.0,26.0,11.0,21.0,10.0,25.0,60.6,119.8
10,MIA,58.0,106.0,0.0,27.0,20.0,14.0,19.0,17.0,16.0,4.0,14.0,53.15,106.6
11,NOP,58.0,95.0,30.0,15.0,14.0,8.0,9.0,7.0,4.0,16.0,9.0,60.15,117.15
12,MIL,51.0,112.0,0.0,13.0,10.0,3.0,30.0,3.0,30.0,6.0,1.0,59.55,117.7
13,MIN,57.0,107.0,30.0,7.0,7.0,23.0,12.0,14.0,17.0,26.0,2.0,57.85,115.45
14,CHA,29.0,84.0,0.0,21.0,29.0,20.0,28.0,10.0,18.0,23.0,12.0,50.75,107.25
15,GSW,43.0,97.0,30.0,11.0,30.0,16.0,4.0,29.0,12.0,12.0,3.0,59.8,123.6
16,DEN,63.0,127.0,0.0,16.0,16.0,24.0,3.0,25.0,26.0,18.0,29.0,58.6,112.2
17,POR,48.0,112.0,30.0,30.0,11.0,27.0,8.0,8.0,19.0,27.0,13.0,53.9,106.15
18,SAS,59.0,118.0,0.0,25.0,26.0,25.0,10.0,9.0,1.0,24.0,26.0,54.2,111.4
19,LAL,66.0,123.0,30.0,2.0,1.0,4.0,29.0,26.0,3.0,13.0,18.0,63.6,122.7
20,ORL,54.0,116.0,0.0,18.0,4.0,26.0,5.0,2.0,7.0,9.0,8.0,53.45,108.05
21,CLE,50.0,109.0,30.0,6.0,13.0,9.0,21.0,18.0,22.0,1.0,15.0,58.9,116.75
22,DET,43.0,115.0,0.0,17.0,17.0,22.0,13.0,27.0,28.0,5.0,19.0,57.0,115.55
23,IND,72.0,129.0,30.0,9.0,28.0,19.0,16.0,24.0,24.0,28.0,4.0,61.55,118.65
24,NYK,69.0,110.0,0.0,20.0,19.0,21.0,2.0,19.0,29.0,7.0,28.0,55.25,111.95
25,PHI,46.0,96.0,30.0,23.0,5.0,1.0,11.0,5.0,6.0,20.0,5.0,58.95,113.75
26,BKN,48.0,93.0,0.0,19.0,25.0,15.0,27.0,22.0,5.0,8.0,30.0,54.05,110.65
27,TOR,59.0,121.0,30.0,22.0,15.0,17.0,14.0,13.0,25.0,17.0,20.0,56.55,111.8
28,PHX,63.0,113.0,0.0,1.0,3.0,30.0,22.0,16.0,23.0,25.0,21.0,63.1,121.35
29,DAL,60.0,123.0,30.0,10.0,6.0,10.0,23.0,6.0,9.0,21.0,23.0,58.7,118.1
30,BOS,59.0,129.0,0.0,5.0,23.0,2.0,25.0,20.0,14.0,22.0,6.0,62.2,120.2
31,CHI,62.0,112.0,30.0,14.0,18.0,11.0,17.0,1.0,2.0,30.0,11.0,56.25,116.4
32,HOU,50.0,105.0,0.0,29.0,9.0,13.0,6.0,17.0,16.0,4.0,14.0,55.55,114.15
33,NOP,63.0,127.0,30.0,15.0,14.0,8.0,9.0,12.0,27.0,14.0,17.0,60.15,117.15
34,LAC,59.0,107.0,0.0,3.0,12.0,7.0,15.0,4.0,11.0,3.0,22.0,57.8,119.8
35,OKC,61.0,129.0,30.0,8.0,21.0,5.0,26.0,15.0,8.0,15.0,24.0,60.6,119.8
36,WAS,49.0,110.0,0.0,28.0,27.0,18.0,20.0,8.0,19.0,27.0,13.0,57.65,112.8
37,DEN,72.0,130.0,30.0,16.0,16.0,24.0,3.0,11.0,21.0,10.0,25.0,58.6,112.2
38,CHA,56.0,115.0,0.0,21.0,29.0,20.0,28.0,28.0,15.0,29.0,10.0,50.75,107.25
39,UTA,52.0,107.0,30.0,12.0,2.0,28.0,1.0,29.0,12.0,12.0,3.0,62.85,123.85
40,LAL,56.0,110.0,0.0,2.0,1.0,4.0,29.0,10.0,18.0,23.0,12.0,63.6,122.7
41,GSW,67.0,128.0,30.0,11.0,30.0,16.0,4.0,9.0,1.0,24.0,26.0,59.8,123.6
42,SAS,57.0,122.0,0.0,25.0,26.0,25.0,10.0,23.0,20.0,11.0,7.0,54.2,111.4
43,SAC,65.0,127.0,30.0,4.0,24.0,12.0,18.0,26.0,3.0,13.0,18.0,61.7,120.0
46,MIL,57.0,110.0,0.0,13.0,10.0,3.0,30.0,21.0,10.0,2.0,27.0,59.55,117.7
47,MEM,57.0,113.0,30.0,26.0,22.0,29.0,24.0,14.0,17.0,26.0,2.0,52.95,104.5
48,GSW,84.0,140.0,0.0,11.0,30.0,16.0,4.0,28.0,15.0,29.0,10.0,59.8,123.6
49,UTA,71.0,137.0,30.0,12.0,2.0,28.0,1.0,10.0,18.0,23.0,12.0,62.85,123.85
50,MIN,66.0,128.0,0.0,7.0,7.0,23.0,12.0,25.0,26.0,18.0,29.0,57.85,115.45
51,POR,51.0,91.0,30.0,30.0,11.0,27.0,8.0,3.0,30.0,6.0,1.0,53.9,106.15
