,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV
0,2024-02-23,1,0022300804,1610612761,TOR,Toronto,Raptors,21-36,33,32,31,27,0,0,0,0,0,0,0,0,0,0,123,0.49,1.0,0.385,37,47,11
1,2024-02-23,1,0022300804,1610612737,ATL,Atlanta,Hawks,24-32,22,42,26,31,0,0,0,0,0,0,0,0,0,0,121,0.434,0.708,0.308,27,54,9
2,2024-02-23,2,0022300805,1610612739,CLE,Cleveland,Cavaliers,36-19,25,25,20,27,0,0,0,0,0,0,0,0,0,0,97,0.425,0.677,0.296,24,43,10
3,2024-02-23,2,0022300805,1610612755,PHI,Philadelphia,76ers,33-23,25,28,21,30,0,0,0,0,0,0,0,0,0,0,104,0.444,0.8,0.414,20,51,9
4,2024-02-23,3,0022300806,1610612756,PHX,Phoenix,Suns,33-24,28,24,24,34,0,0,0,0,0,0,0,0,0,0,110,0.4,0.771,0.226,23,58,10
5,2024-02-23,3,0022300806,1610612745,HOU,Houston,Rockets,25-31,20,37,32,25,0,0,0,0,0,0,0,0,0,0,114,0.398,0.735,0.333,25,54,14
6,2024-02-23,4,0022300807,1610612746,LAC,LA,Clippers,37-18,29,24,26,22,0,0,0,0,0,0,0,0,0,0,101,0.44,0.882,0.375,20,51,20
7,2024-02-23,4,0022300807,1610612763,MEM,Memphis,Grizzlies,20-37,29,30,16,20,0,0,0,0,0,0,0,0,0,0,95,0.418,0.688,0.229,26,41,12
8,2024-02-23,5,0022300809,1610612764,WAS,Washington,Wizards,9-47,28,29,24,25,0,0,0,0,0,0,0,0,0,0,106,0.394,0.714,0.237,20,43,14
9,2024-02-23,5,0022300809,1610612760,OKC,Oklahoma City,Thunder,39-17,41,39,37,30,0,0,0,0,0,0,0,0,0,0,147,0.598,0.81,0.5,30,56,15
10,2024-02-23,6,0022300810,1610612748,MIA,Miami,Heat,31-25,31,27,26,22,0,0,0,0,0,0,0,0,0,0,106,0.463,0.68,0.448,20,46,14
11,2024-02-23,6,0022300810,1610612740,NOP,New Orleans,Pelicans,34-23,24,34,22,15,0,0,0,0,0,0,0,0,0,0,95,0.375,0.769,0.219,20,54,11
12,2024-02-23,7,0022300808,1610612749,MIL,Milwaukee,Bucks,36-21,31,20,36,25,0,0,0,0,0,0,0,0,0,0,112,0.471,0.68,0.351,24,47,10
13,2024-02-23,7,0022300808,1610612750,MIN,Minnesota,Timberwolves,39-17,27,30,13,37,0,0,0,0,0,0,0,0,0,0,107,0.439,0.615,0.371,23,52,13
14,2024-02-23,8,0022300811,1610612766,CHA,Charlotte,Hornets,14-42,15,14,23,32,0,0,0,0,0,0,0,0,0,0,84,0.364,0.818,0.282,21,43,18
15,2024-02-23,8,0022300811,1610612744,GSW,Golden State,Warriors,29-26,22,21,30,24,0,0,0,0,0,0,0,0,0,0,97,0.427,0.8,0.31,28,53,21
16,2024-02-23,9,0022300812,1610612743,DEN,Denver,Nuggets,38-19,25,38,32,32,0,0,0,0,0,0,0,0,0,0,127,0.588,0.636,0.394,38,45,12
17,2024-02-23,9,0022300812,1610612757,POR,Portland,Trail Blazers,15-40,20,28,29,35,0,0,0,0,0,0,0,0,0,0,112,0.455,0.667,0.32,25,45,10
18,2024-02-23,10,0022300813,1610612759,SAS,San Antonio,Spurs,11-46,26,33,31,28,0,0,0,0,0,0,0,0,0,0,118,0.438,0.826,0.395,33,47,14
19,2024-02-23,10,0022300813,1610612747,LAL,Los Angeles,Lakers,31-27,30,36,31,26,0,0,0,0,0,0,0,0,0,0,123,0.516,0.778,0.407,28,46,12
20,2024-02-22,1,0022300792,1610612753,ORL,Orlando,Magic,31-25,29,25,32,30,0,0,0,0,0,0,0,0,0,0,116,0.512,0.889,0.56,26,33,13
21,2024-02-22,1,0022300792,1610612739,CLE,Cleveland,Cavaliers,36-18,24,26,32,27,0,0,0,0,0,0,0,0,0,0,109,0.557,0.808,0.455,31,33,17
22,2024-02-22,2,0022300793,1610612765,DET,Detroit,Pistons,8-47,25,18,45,27,0,0,0,0,0,0,0,0,0,0,115,0.528,0.5,0.4,27,41,15
23,2024-02-22,2,0022300793,1610612754,IND,Indiana,Pacers,32-25,42,30,30,27,0,0,0,0,0,0,0,0,0,0,129,0.532,0.842,0.433,36,42,13
24,2024-02-22,3,0022300794,1610612752,NYK,New York,Knicks,34-22,32,37,22,19,0,0,0,0,0,0,0,0,0,0,110,0.481,0.704,0.441,24,45,15
25,2024-02-22,3,0022300794,1610612755,PHI,Philadelphia,76ers,32-23,21,25,35,15,0,0,0,0,0,0,0,0,0,0,96,0.44,0.857,0.345,23,38,18
26,2024-02-22,4,0022300795,1610612751,BKN,Brooklyn,Nets,21-34,21,27,23,22,0,0,0,0,0,0,0,0,0,0,93,0.413,0.727,0.297,19,39,19
27,2024-02-22,4,0022300795,1610612761,TOR,Toronto,Raptors,20-36,30,29,23,39,0,0,0,0,0,0,0,0,0,0,121,0.488,0.833,0.452,24,45,10
28,2024-02-22,5,0022300796,1610612756,PHX,Phoenix,Suns,33-23,33,30,28,22,0,0,0,0,0,0,0,0,0,0,113,0.482,0.75,0.417,20,41,16
29,2024-02-22,5,0022300796,1610612742,DAL,Dallas,Mavericks,33-23,32,28,36,27,0,0,0,0,0,0,0,0,0,0,123,0.478,0.857,0.432,24,39,10
30,2024-02-22,6,0022300797,1610612738,BOS,Boston,Celtics,44-12,31,28,37,33,0,0,0,0,0,0,0,0,0,0,129,0.542,0.762,0.489,27,36,13
31,2024-02-22,6,0022300797,1610612741,CHI,Chicago,Bulls,26-30,23,39,21,29,0,0,0,0,0,0,0,0,0,0,112,0.468,0.875,0.357,30,45,13
32,2024-02-22,7,0022300798,1610612745,HOU,Houston,Rockets,24-31,27,23,29,26,0,0,0,0,0,0,0,0,0,0,105,0.439,0.643,0.366,27,44,22
33,2024-02-22,7,0022300798,1610612740,NOP,New Orleans,Pelicans,34-22,31,32,38,26,0,0,0,0,0,0,0,0,0,0,127,0.521,0.611,0.39,35,43,13
34,2024-02-22,8,0022300799,1610612746,LAC,LA,Clippers,36-18,33,26,23,25,0,0,0,0,0,0,0,0,0,0,107,0.452,0.846,0.375,27,42,14
35,2024-02-22,8,0022300799,1610612760,OKC,Oklahoma City,Thunder,38-17,35,26,35,33,0,0,0,0,0,0,0,0,0,0,129,0.556,0.706,0.486,24,44,12
36,2024-02-22,9,0022300800,1610612764,WAS,Washington,Wizards,9-46,25,24,34,27,0,0,0,0,0,0,0,0,0,0,110,0.385,0.565,0.447,30,40,14
37,2024-02-22,9,0022300800,1610612743,DEN,Denver,Nuggets,37-19,38,34,29,29,0,0,0,0,0,0,0,0,0,0,130,0.554,0.733,0.226,41,60,16
38,2024-02-22,10,0022300801,1610612766,CHA,Charlotte,Hornets,14-41,34,22,29,30,0,0,0,0,0,0,0,0,0,0,115,0.435,0.682,0.476,28,42,9
39,2024-02-22,10,0022300801,1610612762,UTA,Utah,Jazz,26-31,26,26,38,17,0,0,0,0,0,0,0,0,0,0,107,0.43,0.889,0.231,26,54,19
40,2024-02-22,11,0022300802,1610612747,LAL,Los Angeles,Lakers,30-27,28,28,26,28,0,0,0,0,0,0,0,0,0,0,110,0.489,0.667,0.286,28,41,11
41,2024-02-22,11,0022300802,1610612744,GSW,Golden State,Warriors,28-26,31,36,31,30,0,0,0,0,0,0,0,0,0,0,128,0.467,0.857,0.39,32,48,9
42,2024-02-22,12,0022300803,1610612759,SAS,San Antonio,Spurs,11-45,32,25,30,35,0,0,0,0,0,0,0,0,0,0,122,0.51,0.688,0.44,37,42,8
43,2024-02-22,12,0022300803,1610612758,SAC,Sacramento,Kings,32-23,30,35,28,34,0,0,0,0,0,0,0,0,0,0,127,0.559,0.714,0.394,29,42,10
44,2024-02-18,1,0032300001,1610616834,WST,West NBA All Stars,West,0-1,47,42,47,50,0,0,0,0,0,0,0,0,0,0,186,0.559,1.0,0.352,60,53,11
45,2024-02-18,1,0032300001,1610616833,EST,East NBA All Stars,East,1-0,53,51,56,51,0,0,0,0,0,0,0,0,0,0,211,0.568,0.75,0.433,46,64,14
46,2024-02-15,1,0022300790,1610612749,MIL,Milwaukee,Bucks,35-21,26,31,28,25,0,0,0,0,0,0,0,0,0,0,110,0.467,0.75,0.25,24,44,13
47,2024-02-15,1,0022300790,1610612763,MEM,Memphis,Grizzlies,20-36,29,28,37,19,0,0,0,0,0,0,0,0,0,0,113,0.53,0.632,0.5,30,40,16
48,2024-02-15,2,0022300576,1610612744,GSW,Golden State,Warriors,27-26,36,48,36,20,0,0,0,0,0,0,0,0,0,0,140,0.533,0.786,0.476,42,41,13
49,2024-02-15,2,0022300576,1610612762,UTA,Utah,Jazz,26-30,39,32,31,35,0,0,0,0,0,0,0,0,0,0,137,0.462,0.906,0.449,33,48,16
50,2024-02-15,3,0022300791,1610612750,MIN,Minnesota,Timberwolves,39-16,44,22,33,29,0,0,0,0,0,0,0,0,0,0,128,0.517,0.926,0.367,24,52,13
51,2024-02-15,3,0022300791,1610612757,POR,Portland,Trail Blazers,15-39,14,37,25,15,0,0,0,0,0,0,0,0,0,0,91,0.373,0.7,0.276,18,35,15
52,2024-02-14,1,0022300777,1610612737,ATL,Atlanta,Hawks,24-31,31,24,25,19,0,0,0,0,0,0,0,0,0,0,99,0.404,0.9,0.237,23,45,16
53,2024-02-14,1,0022300777,1610612766,CHA,Charlotte,Hornets,13-41,29,32,35,26,0,0,0,0,0,0,0,0,0,0,122,0.494,0.95,0.405,27,46,12
54,2024-02-14,2,0022300778,1610612752,NYK,New York,Knicks,33-22,36,19,22,23,0,0,0,0,0,0,0,0,0,0,100,0.417,0.792,0.379,15,34,10
55,2024-02-14,2,0022300778,1610612753,ORL,Orlando,Magic,30-25,27,38,24,29,0,0,0,0,0,0,0,0,0,0,118,0.632,0.909,0.462,25,34,12
56,2024-02-14,3,0022300779,1610612748,MIA,Miami,Heat,30-25,33,27,23,26,0,0,0,0,0,0,0,0,0,0,109,0.477,0.933,0.314,27,43,13
57,2024-02-14,3,0022300779,1610612755,PHI,Philadelphia,76ers,32-22,33,29,20,22,0,0,0,0,0,0,0,0,0,0,104,0.477,0.75,0.286,29,39,14
58,2024-02-14,4,0022300780,1610612751,BKN,Brooklyn,Nets,21-33,15,17,23,31,0,0,0,0,0,0,0,0,0,0,86,0.383,0.933,0.323,27,31,11
59,2024-02-14,4,0022300780,1610612738,BOS,Boston,Celtics,43-12,30,38,33,35,0,0,0,0,0,0,0,0,0,0,136,0.571,0.833,0.489,32,51,8
60,2024-02-14,5,0022300781,1610612741,CHI,Chicago,Bulls,26-29,32,17,27,29,0,0,0,0,0,0,0,0,0,0,105,0.458,0.882,0.424,18,44,14
61,2024-02-14,5,0022300781,1610612739,CLE,Cleveland,Cavaliers,36-17,25,18,28,37,0,0,0,0,0,0,0,0,0,0,108,0.482,0.762,0.324,31,36,8
62,2024-02-14,6,0022300782,1610612754,IND,Indiana,Pacers,31-25,31,34,36,26,0,0,0,0,0,0,0,0,0,0,127,0.485,0.696,0.415,32,39,8
63,2024-02-14,6,0022300782,1610612761,TOR,Toronto,Raptors,19-36,35,36,32,22,0,0,0,0,0,0,0,0,0,0,125,0.51,0.731,0.231,30,56,15
